Campaign ID,Platform,Ad Spend (₹),Leads Generated,Conversions,CTR (%)
CAM-01,Google,"₹50,000",500,60,4.5
CAM-02,Instagram,"₹35,000",400,20,2.2
CAM-03,Facebook,"₹40,000",480,35,1.8
CAM-04,Google,"₹65,000",680,85,5.1
CAM-05,Instagram,"₹30,000",350,18,2.5
CAM-06,Facebook,"₹42,000",510,40,1.9
CAM-07,Google,"₹55,000",560,72,4.8
CAM-08,Facebook,"₹25,000",290,22,1.5
CAM-09,Instagram,"₹70,000",250,8,1.2
CAM-10,Google,"₹80,000",820,95,5.5
CAM-11,Instagram,"₹38,000",420,24,2.4
CAM-12,Facebook,"₹45,000",550,44,2
